"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"Ain Ghazal";"stat_2_gref";1;"oeil";"-";0;"POLYGON ((266.9252 -167.608, 265.2606 -168.9952, 261.3765 -172.047, 254.9956 -174.2664, 249.7244 -174.5439, 241.4014 -173.7116, 232.2461 -170.9372, 224.478 -166.2209, 219.7616 -160.1174, 220.039 -156.5107, 223.0908 -154.0138, 228.362 -151.5169, 236.4076 -149.8523, 245.008 -150.6846, 253.0536 -153.1815, 260.2668 -157.343, 264.9832 -161.2271, 264.9832 -161.2271, 267.6014 -164.0708, 266.9252 -167.608))"
"Ain Ghazal";"stat_2_gref";2;"oeil";"-";0;"POLYGON ((353.2068 -160.9497, 353.2068 -162.3368, 351.4035 -166.7757, 346.6872 -171.6308, 342.6644 -174.1277, 338.7803 -175.5149, 334.7575 -175.931, 328.0992 -175.6536, 319.7762 -173.5729, 315.0598 -171.2147, 311.1758 -168.8565, 313.9501 -164.2789, 318.8052 -159.5625, 325.741 -156.9269, 331.7058 -155.2623, 338.919 -154.7074, 344.8838 -155.1236, 348.9066 -157.0656, 353.2068 -160.9497))"
"Ain Ghazal";"stat_2_gref";3;"visage";"-";0;"POLYGON ((222.9521 -74.3906, 224.6167 -62.46098, 228.7782 -51.08623, 237.656 -44.15041, 244.037 -40.26635, 257.9086 -31.66593, 265.1219 -28.8916, 274.5546 -28.0593, 286.7617 -28.8916, 296.1944 -29.7239, 311.1758 -34.44026, 317.2793 -37.49202, 330.0412 -43.87298, 342.5257 -53.02826, 349.1841 -59.68665, 352.2358 -68.84194, 355.0101 -72.44857, 357.2296 -82.99102, 357.507 -90.20427, 358.3393 -93.53347, 361.946 -97.69496, 365.2752 -102.4113, 368.0495 -107.6825, 367.7721 -116.283, 368.3269 -127.1028, 367.2172 -134.0387, 367.4946 -138.755, 368.8818 -152.6267, 371.9336 -164.5563, 370.269 -177.5956, 367.4946 -185.6412, 365.83 -195.3513, 362.5008 -205.3389, 360.5588 -212.8296, 355.565 -223.3721, 350.8487 -230.3079, 346.6872 -238.076, 340.8611 -243.3472, 332.8155 -249.1733, 320.6085 -256.3866, 311.1758 -263.5998, 299.5236 -270.2582, 290.0909 -274.6971, 285.0971 -276.3617, 277.0515 -275.8069, 270.3931 -273.8648, 261.5153 -269.1485, 247.6436 -263.045, 235.714 -256.1091, 227.391 -252.7799, 216.0163 -243.3472, 210.4676 -232.2499, 204.919 -217.8234, 202.9769 -208.3907, 201.0349 -197.2934, 199.6477 -182.312, 200.2026 -173.1567, 204.3641 -155.1236, 204.6415 -153.7364, 207.1384 -149.02, 210.1902 -136.813, 209.6353 -125.9931, 208.5256 -116.8378, 207.6933 -114.3409, 209.6353 -100.1919, 211.0225 -92.42373, 217.4034 -84.37818, 222.9521 -74.3906))"
"Ain Ghazal";"stat_2_gref";4;"bouche";"-";0;"POLYGON ((299.9397 -230.2385, 300.7027 -230.3079, 301.1882 -230.724, 301.2575 -231.7644, 299.2461 -232.3886, 296.7492 -233.1516, 293.1426 -233.5677, 289.2586 -233.4984, 284.5422 -233.0822, 278.1612 -232.3886, 273.1674 -230.9321, 270.2544 -228.9901, 269.6995 -226.84, 271.6069 -226.0597, 274.0691 -227.3948, 276.9821 -229.1288, 282.6002 -230.0998, 287.1084 -230.6547, 294.9459 -230.3772, 299.9397 -230.2385))"
"Ain Ghazal";"stat_5_gref";1;"visage";"-";0;"POLYGON ((268.9227 -76.85095, 271.6277 -80.18015, 274.5407 -84.34164, 275.7892 -89.95966, 276.6215 -99.32302, 277.2457 -104.3168, 277.2457 -107.2299, 277.4538 -114.9286, 278.2861 -122.0032, 279.7426 -132.615, 280.5749 -139.6895, 280.9911 -152.3821, 282.8637 -156.9597, 282.4476 -159.4566, 280.9911 -164.0342, 280.3668 -172.3572, 279.5345 -183.3852, 278.2861 -190.6678, 275.9973 -197.5343, 270.3792 -205.8572, 263.9289 -212.9318, 256.2302 -216.8852, 250.6122 -220.4225, 243.3295 -224.1678, 234.5904 -227.0809, 230.0128 -227.9132, 225.4351 -226.8728, 220.8575 -223.7517, 212.9506 -219.3821, 204.4196 -215.2206, 195.2643 -212.0995, 191.1028 -209.1864, 187.5655 -201.4877, 185.0686 -192.7485, 183.8202 -186.9224, 182.7798 -179.8479, 181.7394 -172.3572, 180.9071 -168.1957, 178.2022 -164.4504, 177.5779 -161.1212, 179.2425 -157.3758, 180.2829 -151.5498, 180.2829 -144.8914, 180.0748 -133.4473, 179.4506 -122.8355, 178.8264 -115.7609, 180.2829 -107.646, 183.8202 -97.03419, 189.0221 -88.91928, 196.5127 -82.05282, 203.3792 -78.72362, 212.7426 -77.47518, 219.8171 -77.68325, 223.5624 -75.6025, 229.1805 -72.48138, 236.255 -69.98449, 240.8326 -69.56834, 247.0749 -69.77641, 254.1494 -71.23294, 262.6805 -73.72983, 268.9227 -76.85095))"
"Ain Ghazal";"stat_5_gref";2;"oeil";"-";0;"POLYGON ((277.0376 -151.6538, 277.5578 -152.5901, 276.7255 -153.8386, 274.6448 -156.6476, 272.0438 -158.8324, 268.9227 -159.7687, 264.137 -160.1849, 259.4553 -159.3526, 255.3979 -158.5203, 251.4445 -156.8557, 249.2597 -155.1911, 248.4274 -153.3184, 249.0516 -151.4457, 251.5485 -148.7407, 254.9817 -146.3479, 258.1028 -145.2035, 261.224 -144.5793, 266.1137 -144.5793, 268.9227 -145.3075, 271.5237 -146.764, 274.9569 -148.7407, 277.0376 -151.6538))"
"Ain Ghazal";"stat_5_gref";3;"oeil";"-";0;"POLYGON ((218.5687 -154.879, 217.9444 -156.9597, 215.6556 -159.5606, 212.8466 -161.3293, 209.2053 -162.4737, 204.3155 -163.2019, 200.8823 -162.6818, 196.7208 -161.6414, 192.8714 -159.8727, 191.2068 -157.2718, 190.4786 -154.7749, 190.8947 -153.4224, 193.3916 -151.6538, 196.7208 -149.573, 200.2581 -148.6367, 205.564 -148.1165, 211.5982 -148.9488, 215.4475 -151.6538, 218.5687 -154.879))"
"Ain Ghazal";"stat_5_gref";4;"bouche";"-";0;"POLYGON ((244.7861 -195.9737, 245.3062 -196.702, 244.578 -197.6383, 241.873 -198.5746, 238.1277 -199.1989, 235.6308 -198.9908, 230.1168 -198.4706, 226.3715 -198.1585, 222.5221 -197.8464, 220.0252 -196.806, 219.2969 -195.3495, 221.8978 -194.4131, 223.5624 -195.0374, 227.0997 -196.1818, 231.3652 -196.806, 235.9429 -196.91, 239.7923 -196.2858, 244.7861 -195.9737))"
"Jericho";"tete_afe_gref";1;"visage";"-";0;"POLYGON ((472.8359 -60.20498, 517.78 -60.20498, 581.0347 -55.21119, 594.3515 -60.20498, 659.2708 -75.18635, 719.1963 -86.83854, 769.1342 -106.8137, 785.7802 -113.4721, 809.0846 -131.7827, 827.3951 -166.7392, 854.0287 -190.0436, 869.0101 -201.6958, 877.333 -221.6709, 883.9914 -271.6088, 895.6436 -331.5343, 902.302 -379.8077, 920.6126 -426.4164, 932.2648 -488.0065, 930.6002 -542.9382, 920.6126 -567.9072, 922.2772 -579.5593, 910.625 -671.1122, 893.979 -764.3296, 864.0163 -854.2179, 845.7057 -912.4788, 807.42 -992.3795, 787.4448 -1025.671, 739.1715 -1080.603, 680.9106 -1127.212, 574.3763 -1153.845, 481.1589 -1163.833, 417.9042 -1163.833, 351.3203 -1158.839, 296.3886 -1140.529, 249.7799 -1125.547, 231.4693 -1112.23, 216.4879 -1078.939, 196.5127 -1047.311, 169.8792 -1007.361, 149.904 -970.7397, 129.9288 -927.4602, 119.9413 -894.1682, 98.3015 -854.2179, 84.98472 -797.6216, 73.33254 -761.0005, 53.35737 -671.1122, 35.0468 -587.8823, 23.39462 -534.6152, 35.0468 -497.9941, 38.37599 -468.0313, 38.37599 -411.435, 45.03438 -309.8946, 53.35737 -229.9939, 84.46453 -166.0109, 113.2829 -140.4698, 146.5748 -123.4597, 243.1215 -83.50934, 341.3327 -58.54038, 396.2644 -60.20498, 472.8359 -60.20498))"
"Jericho";"tete_afe_gref";2;"oeil";"-";0;"POLYGON ((386.2768 -695.2489, 385.4445 -701.9072, 378.7861 -711.0625, 354.6495 -725.2116, 337.1712 -734.3669, 317.196 -741.8576, 293.0594 -747.6837, 263.0966 -746.8514, 234.7985 -744.3545, 214.8233 -731.87, 199.0096 -716.0563, 193.1835 -705.2364, 208.1649 -683.5967, 228.9724 -666.9507, 249.7799 -656.9631, 277.2457 -649.4724, 299.7178 -649.4724, 315.5314 -651.137, 338.8358 -656.1308, 367.9663 -668.6153, 386.2768 -695.2489))"
