site	decor	a	b	type
1	Tanum	Tanum_12_1_aeo	2	1	=
2	Tanum	Tanum_12_1_aeo	2	6	=
3	Tanum	Tanum_12_1_aeo	1	6	=
4	Tanum	Tanum_12_1_aeo	2	3	=
5	Tanum	Tanum_12_1_aeo	3	6	=
6	Tanum	Tanum_12_1_aeo	3	4	=
7	Tanum	Tanum_12_1_aeo	4	6	=
8	Tanum	Tanum_12_1_aeo	6	11	=
9	Tanum	Tanum_12_1_aeo	11	5	=
10	Tanum	Tanum_12_1_aeo	11	4	=
11	Tanum	Tanum_12_1_aeo	8	6	=
12	Tanum	Tanum_12_1_aeo	7	5	=
13	Tanum	Tanum_12_1_aeo	7	11	=
14	Tanum	Tanum_12_1_aeo	7	27	=
15	Tanum	Tanum_12_1_aeo	7	28	=
16	Tanum	Tanum_12_1_aeo	7	29	=
17	Tanum	Tanum_12_1_aeo	27	28	=
18	Tanum	Tanum_12_1_aeo	28	29	=
19	Tanum	Tanum_12_1_aeo	8	30	=
20	Tanum	Tanum_12_1_aeo	8	10	+
21	Tanum	Tanum_12_1_aeo	8	9	+
22	Tanum	Tanum_12_1_aeo	8	12	=
23	Tanum	Tanum_12_1_aeo	4	33	=
24	Tanum	Tanum_12_1_aeo	5	33	=
25	Tanum	Tanum_12_1_aeo	33	11	=
26	Tanum	Tanum_12_1_aeo	11	8	=
27	Tanum	Tanum_12_1_aeo	12	14	=
28	Tanum	Tanum_12_1_aeo	14	16	=
29	Tanum	Tanum_12_1_aeo	12	13	+
30	Tanum	Tanum_12_1_aeo	14	15	+
31	Tanum	Tanum_12_1_aeo	16	17	+
32	Tanum	Tanum_12_1_aeo	19	21	=
33	Tanum	Tanum_12_1_aeo	18	20	=
34	Tanum	Tanum_12_1_aeo	20	22	=
35	Tanum	Tanum_12_1_aeo	22	23	=
36	Tanum	Tanum_12_1_aeo	23	24	=
37	Tanum	Tanum_12_1_aeo	24	25	=
38	Tanum	Tanum_12_1_aeo	25	26	=
39	Tanum	Tanum_12_1_aeo	16	26	=
40	Tanum	Tanum_12_1_aeo	16	25	=
41	Tanum	Tanum_12_1_aeo	16	24	=
42	Tanum	Tanum_12_1_aeo	16	23	=
43	Tanum	Tanum_12_1_aeo	16	22	=
44	Tanum	Tanum_12_1_aeo	21	22	=
45	Tanum	Tanum_12_1_aeo	16	21	=
46	Tanum	Tanum_12_1_aeo	20	21	=
47	Tanum	Tanum_12_1_aeo	18	19	=
48	Tanum	Tanum_12_1_aeo	19	20	=
49	Tanum	Tanum_12_1_aeo	1	19	=
50	Tanum	Tanum_12_1_aeo	1	8	=
51	Tanum	Tanum_12_1_aeo	1	12	=
52	Tanum	Tanum_12_1_aeo	1	16	=
53	Tanum	Tanum_12_1_aeo	16	32	+
54	Tanum	Tanum_12_1_aeo	30	29	=
55	Tanum	Tanum_12_1_aeo	30	31	=
56	Tanum	Tanum_12_1_aeo	29	31	=
57	Tanum	Tanum_12_1_aeo	12	30	=
58	Tanum	Tanum_12_1_aeo	12	31	=
59	Tanum	Tanum_12_1_aeo	14	31	=
