site	decor	a	b	type
1	Ossimo	Ossimo M12	1	2	=
2	Ossimo	Ossimo M12	2	3	=
3	Ossimo	Ossimo M12	3	4	=
4	Ossimo	Ossimo M12	4	5	=
5	Ossimo	Ossimo M12	5	6	=
6	Ossimo	Ossimo M12	6	7	=
7	Ossimo	Ossimo M12	7	8	=
8	Ossimo	Ossimo M12	8	9	=
9	Ossimo	Ossimo M12	5	10	=
10	Ossimo	Ossimo M12	6	10	=
11	Ossimo	Ossimo M12	7	10	=
12	Ossimo	Ossimo M12	8	10	=
13	Ossimo	Ossimo M12	9	10	=
14	Ossimo	Ossimo M12	10	11	=
15	Ossimo	Ossimo M12	10	15	=
16	Ossimo	Ossimo M12	10	14	=
17	Ossimo	Ossimo M12	11	12	=
18	Ossimo	Ossimo M12	12	13	=
19	Ossimo	Ossimo M12	12	14	=
20	Ossimo	Ossimo M12	11	14	=
21	Ossimo	Ossimo M12	13	14	=
22	Ossimo	Ossimo M12	14	15	=
23	Ossimo	Ossimo M12	11	16	=
24	Ossimo	Ossimo M12	16	17	=
25	Ossimo	Ossimo M12	16	12	=
26	Ossimo	Ossimo M12	12	17	=
27	Ossimo	Ossimo M12	10	16	=
28	Ossimo	Ossimo M12	1	10	>
29	Ossimo	Ossimo M12	2	10	>
30	Ossimo	Ossimo M12	3	10	>
31	Ossimo	Ossimo M12	4	10	>
32	Ossimo	Ossimo M11	1	2	=
33	Ossimo	Ossimo M11	2	3	=
34	Ossimo	Ossimo M11	3	4	+
35	Ossimo	Ossimo M11	3	6	=
36	Ossimo	Ossimo M11	3	5	=
37	Ossimo	Ossimo M11	5	6	=
38	Ossimo	Ossimo M11	5	7	=
39	Ossimo	Ossimo M11	6	7	=
40	Ossimo	Ossimo 9	1	2	=
41	Ossimo	Ossimo 9	2	3	=
42	Ossimo	Ossimo 9	3	4	+
43	Ossimo	Ossimo 9	3	5	=
44	Ossimo	Ossimo 9	3	6	=
45	Ossimo	Ossimo 9	5	6	=
