"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"1";" Alenc Beyrac";"France";18,587;15,68;38,786;"#FF0000";"triangle";25,44;21,46;53,09
"2";" Alenc Beyrac";"France";18,563;15,677;38,69;"#FF0000";"triangle";25,45;21,5;53,05
"3";" Alenc Beyrac";"France";18,617;15,775;38,999;"#FF0000";"triangle";25,37;21,49;53,14
"4";"Ramponeche/Col du Sapet";"France";18,373;15,684;38,639;"#FF0000";"triangle";25,27;21,57;53,15
"5";"Ramponeche/Col du Sapet";"France";18,518;15,678;38,76;"#FF0000";"triangle";25,38;21,49;53,13
"6";"Ramponeche/Col du Sapet";"France";18,377;15,679;38,623;"#FF0000";"triangle";25,29;21,57;53,14
"7";"Ramponeche/Col du Sapet";"France";18,481;15,68;38,609;"#FF0000";"triangle";25,4;21,55;53,06
"8";"Le Tournel";"France";18,562;15,681;38,718;"#FF0000";"triangle";25,44;21,49;53,07
"9";"Le Tournel";"France";18,571;15,679;38,698;"#FF0000";"triangle";25,46;21,49;53,05
"10";"Le Tournel";"France";18,577;15,689;38,713;"#FF0000";"triangle";25,46;21,5;53,05
"11";"Bedoues-Cocures";"France";18,441;15,669;38,695;"#FF0000";"triangle";25,33;21,52;53,15
"12";"Bedoues-Cocures";"France";18,506;15,678;38,753;"#FF0000";"triangle";25,37;21,5;53,13
"13";"Bedoues-Cocures";"France";18,479;15,681;38,727;"#FF0000";"triangle";25,35;21,51;53,13
"14";"Vialas";"France";18,372;15,672;38,536;"#FF0000";"triangle";25,31;21,59;53,09
"15";"Vialas";"France";18,359;15,672;38,545;"#FF0000";"triangle";25,3;21,59;53,11
"16";"Vialas";"France";18,369;15,671;38,524;"#FF0000";"triangle";25,31;21,6;53,09
"17";"Le Bleymard";"France";18,572;15,678;38,683;"#FF0000";"triangle";25,46;21,5;53,04
"18";"Le Bleymard";"France";18,636;15,683;38,747;"#FF0000";"triangle";25,51;21,46;53,03
"19";"Le Bleymard";"France";18,606;15,685;38,693;"#FF0000";"triangle";25,49;21,49;53,02
"20";"Le Bleymard";"France";18,554;15,676;38,677;"#FF0000";"triangle";25,45;21,5;53,05
"21";"Le Bleymard";"France";18,596;15,674;38,715;"#FF0000";"triangle";25,48;21,48;53,05
"22";"Les Bondons";"France";18,437;15,673;38,704;"#FF0000";"triangle";25,32;21,52;53,15
"23";"Les Bondons";"France";18,44;15,67;38,684;"#FF0000";"triangle";25,33;21,53;53,14
"24";"Les Bondons";"France";18,457;15,673;38,678;"#FF0000";"triangle";25,35;21,53;53,12
