"from"	"to"
"anthropomorphe"	"visage"
"technomorphe"	"barque_bateau"
"chariot_char"	"roue"
"chevron"	"trait_mi_barbele"
"trait"	"trait_fleche"
"chevron"	"trait_fleche"
"chevron_simple"	"croix_st_andre"
"chevron_simple"	"triangle"
"chevron_simple"	"chevron_hachure"
"chevron_simple"	"chevron_quadrant"
"croix"	"chevron_quadrant"
"trait"	"phi"
"geometrique"	"scalariforme"
"equide"	"cheval"
"caprine"	"bouquetin"
"rectangle"	"reticule"
"circulaire"	"cercle"
"circulaire"	"spirale"
"circulaire"	"ovale"
"spirale"	"meandre_s"
"rectangle"	"triple_enceinte"
"rectangle"	"marelle"
"trait"	"peigne"
"geometrique"	"circulaire"
"triangle"	"sablier"
"canide"	"chien"
"geometrique"	"asteride"
"asteride"	"etoile"
"asteride"	"pentacle"
"asteride"	"soleil"
"zoomorphe"	"oiseau"
"geometrique"	"jugiforme"
"quadrupede"	"quadrupede_cornes"
"quadrupede"	"suide"
"trait"	"pectiniforme"
"bovide"	"taureau"
"caprine"	"chevre"
"ovicaprine"	"brebis"
"empreinte"	"empreinte_pied"
"empreinte"	"empreinte_main"
"_col"	"_col_base"
"_col"	"_levre"
"_panse"	"_carene"
"_panse"	"_epaule"
"_fond"	"_fond_arrondi"
"_fond"	"_fond_aplani"
"_fond"	"_fond_ombilic"
"_fond"	"_fond_pied"
"anthropomorphe"	"personnage"
"autre"	"a_det"
"autre"	"indet"
"ceramique"	"_col"
"ceramique"	"_fond"
"ceramique"	"_panse"
"cercle"	"soleil"
"chevron"	"chevron_simple"
"chevron"	"trait_barbele"
"croix"	"croix_simple"
"zoomorphe"	"poisson"
"chevron_hachure"	"chevron_hachure_1"
"croix"	"croix_simple"
"croix"	"croix_st_andre"
"croix"	"svastika"
"croix_st_andre"	"croix_st_andre_gammee"
"escalier"	"escalier_simple"
"escalier"	"escalier_double"
"escalier"	"meandre"
"figuratif"	"anthropomorphe"
"figuratif"	"technomorphe"
"figuratif"	"zoomorphe"
"geometrique"	"arceau"
"geometrique"	"chevron"
"geometrique"	"trait"
"geometrique"	"omega"
"geometrique"	"ponctuation"
"geometrique"	"rectangle"
"geometrique"	"separ"
"hache"	"hache_emmanchee"
"hache"	"hache_lame_seule"
"instrument_objet"	"coiffe"
"meandre"	"meandre_r"
"meandre"	"meandre_s"
"meandre_r"	"meandre_r_apex"
"meandre_r"	"meandre_r_double"
"meandre_r"	"meandre_r_escalier"
"meandre_r"	"meandre_r_simple"
"meandre_r"	"meandre_r_negat"
"ponctuation"	"barbelure"
"separ"	"separ_h"
"separ"	"separ_v"
"separ_h"	"separ_h_point"
"trait"	"trait_simple"
"trait"	"trait_ondule"
"trait"	"trait_barbele"
"trait"	"trait_mi_barbele"
"u"	"ug"
"u"	"um"
"u"	"up"
"ug"	"autre"
"ug"	"figuratif"
"ug"	"geometrique"
"ug"	"vide"
"um"	"_haut"
"um"	"art_rupestre"
"um"	"ceramique"
"up"	"_cannelure"
"up"	"_trou"
"trait"	"croix"
"trait"	"scalariforme"
"trait"	"bande_pendante"
"escalier"	"cheval_escalier"
"trait_simple"	"escalier"
"croix"	"scalariforme"
"geometrique"	"halteriforme"
"mobilier"	"instrument_objet"
"idole"	"idole_double_arceau"
"zoomorphe"	"cachalot"
"poignard"	"poignard_fourreau"
"instrument_objet"	"anciforme"
"defensif"	"bouclier"
"offensif"	"poignardOUepee"
"effet_perso"	"miroir"
"effet_perso"	"fibule"
"arme_jet"	"arbalete"
"effet_perso"	"peigne"
"suspension"	"ceinture"
"effet_perso"	"suspension"
"offensif"	"lance"
"ovicaprine"	"caprine"
"arme_jet"	"fleche"
"offensif"	"hacheOUhallebarde"
"effet_perso"	"lyre"
"effet_perso"	"pendeloque"
"arme_jet"	"arc"
"anthropomorphe"	"main"
"anthropomorphe"	"pied"
"technomorphe"	"ecriture"
"cercle"	"cercle_compas"
"geometrique"	"tectiforme"
"attelage"	"chariot_char"
"attelage"	"araire"
"technomorphe"	"attelage"
"attelage"	"travois"
"meandre_r"	"h"
"um"	"_na"
"geometrique"	"trisquel"
"ceramique"	"_anse"
"instrument_objet"	"arme"
"instrument_objet"	"palette"
"instrument_objet"	"crosse"
"zoomorphe"	"quadrupede"
"quadrupede"	"equide"
"quadrupede"	"canide"
"quadrupede_cornes"	"corniforme"
"quadrupede_cornes"	"bovide"
"quadrupede_cornes"	"caprine"
"quadrupede_cornes"	"cervide"
"cercle"	"rouelle"
"idole"	"idole_pseudo"
"idole"	"idole_rectangulaire_2r"
"idole"	"idole_rectangulaire"
"idole"	"idole_scutiforme"
"idole"	"idole_oculee"
"anthropomorphe"	"idole"
"anthropomorphe"	"sexe_feminin"
"anthropomorphe"	"seins"
"anthropomorphe"	"sexe_masculin"
"geometrique"	"losange"
"instrument_objet"	"rivet"
"poignardOUepee"	"poignard"
"ug"	"decor"
"separ"	"cartouche"
"decor"	"vegetal"
"vegetal"	"rinceaux"
"decor"	"architecture_elt"
"visage"	"masque"
"geometrique"	"trapeze"
"technomorphe"	"mobilier"
"equide"	"ane"
"cervide"	"cerf"
"cervide"	"biche"
"poignardOUepee"	"epee"
"instrument_objet"	"cercle_trois_rayons"
"hallebarde"	"hallebarde_montejicar"
"hache_emmanchee"	"hache_emmanchee_dir"
"hache_emmanchee"	"hache_emmanchee_indir"
"caprine"	"chevre_sauvage"
"bovide"	"bison"
"bovide"	"auroch"
"equide"	"equide_sauvage"
"cervide"	"renne"
"quadrupede"	"felide"
"felide"	"chat"
"instrument_objet"	"capovolto"
"instrument_objet"	"baton"
"ug"	"piernabierto"
"suide"	"sanglier"
"suide"	"cochon"
"instrument_objet"	"piece_tissu"
"piece_tissu"	"rectangle_frange"
"piece_tissu"	"manteau_damier"
"epee_fourreau"	"epee_fourreau_bouterolle"
"epee"	"epee_fourreau"
"hacheOUhallebarde"	"hache"
"hacheOUhallebarde"	"hallebarde"
"visage"	"oeil"
"visage"	"bouche"
"visage"	"nez"
"visage"	"scarification"
"visage"	"t_facial"
"ceramique"	"_cordon"
"visage"	"sourcil"
"instrument_objet"	"effet_perso"
"effet_perso"	"spirale_double"
"armure"	"cuirasse"
"effet_perso"	"trousse"
"suspension"	"collier"
"suspension"	"baudrier"
"effet_perso"	"boucles_oreilles"
"effet_perso"	"bracelet"
"effet_perso"	"pince"
"arme"	"offensif"
"arme"	"defensif"
"defensif"	"casque"
"armure"	"cardiophylax"
"defensif"	"armure"
"armure"	"jambiere"
"suspension"	"chaine"
"losange"	"rhomboide_hachure"
"trait"	"trait_faisceau"
"cercle"	"rosace"
"instrument_objet"	"ciseau"
"anthropomorphe"	"jambe"
"anthropomorphe"	"empreinte"
"piece_tissu"	"pagne"
"piece_tissu"	"tablier"
"arme_jet"	"carquois"
"offensif"	"arme_jet"
"armure"	"flancart"
"arme_jet"	"javelot"
"effet_perso"	"torque"
"instrument_objet"	"poids_mesure"
"poids_mesure"	"lingot"
"lingot"	"lingot_pdb"
"anthropomorphe"	"taille"
"quadrupede"	"ovicaprine"
"anthropomorphe"  "buste"
