site	decor	a	b	type
Cerro Muriano	Cerro Muriano 1	1	4	=
Cerro Muriano	Cerro Muriano 1	1	5	=
Cerro Muriano	Cerro Muriano 1	3	5	=
Cerro Muriano	Cerro Muriano 1	1	2	+
Cerro Muriano	Cerro Muriano 1	1	7	+
Cerro Muriano	Cerro Muriano 1	3	1	=
Cerro Muriano	Cerro Muriano 1	1	8	=
Cerro Muriano	Cerro Muriano 1	4	8	=
Torrejon Rubio	Torrejon Rubio 1	6	5	=
Torrejon Rubio	Torrejon Rubio 1	4	2	=
Torrejon Rubio	Torrejon Rubio 1	6	7	=
Torrejon Rubio	Torrejon Rubio 1	1	2	=
Torrejon Rubio	Torrejon Rubio 1	1	8	+
Torrejon Rubio	Torrejon Rubio 1	1	9	+
Torrejon Rubio	Torrejon Rubio 1	2	3	=
Torrejon Rubio	Torrejon Rubio 1	3	1	=
Torrejon Rubio	Torrejon Rubio 1	3	4	=
Torrejon Rubio	Torrejon Rubio 1	2	5	=
Torrejon Rubio	Torrejon Rubio 1	2	6	=
Torrejon Rubio	Torrejon Rubio 1	6	4	=
Torrejon Rubio	Torrejon Rubio 1	3	12	+
Torrejon Rubio	Torrejon Rubio 1	1	10	+
Torrejon Rubio	Torrejon Rubio 1	1	11	+
Brozas	Brozas	1	2	=
Brozas	Brozas	3	1	=
Brozas	Brozas	3	2	=
Brozas	Brozas	4	1	=
Brozas	Brozas	4	3	=
Brozas	Brozas	1	5	=
Brozas	Brozas	2	5	=
Brozas	Brozas	3	5	=
Brozas	Brozas	4	5	=
Brozas	Brozas	5	6	=
Zarza de Montanchez	Zarza De Montanchez	1	3	=
Zarza de Montanchez	Zarza De Montanchez	1	2	=
Zarza de Montanchez	Zarza De Montanchez	3	4	=
Zarza de Montanchez	Zarza De Montanchez	3	2	=
Zarza de Montanchez	Zarza De Montanchez	4	5	=
Zarza de Montanchez	Zarza De Montanchez	6	4	=
Zarza de Montanchez	Zarza De Montanchez	5	6	=
Zarza de Montanchez	Zarza De Montanchez	7	8	+
Zarza de Montanchez	Zarza De Montanchez	7	9	+
Zarza de Montanchez	Zarza De Montanchez	7	10	+
Zarza de Montanchez	Zarza De Montanchez	7	11	+
Zarza de Montanchez	Zarza De Montanchez	5	7	=
Zarza de Montanchez	Zarza De Montanchez	6	7	=
Zarza de Montanchez	Zarza De Montanchez	1	12	+
Ibahernando	Ibahernando	1	2	>
Ibahernando	Ibahernando	1	3	>
Ibahernando	Ibahernando	2	3	=
Ibahernando	Ibahernando	3	4	=
