site	decor	id	type	x	y	sens	long_cm	incomplet	technologie	sym_h	chr_1	tpq	taq
1	Tanum	Tanum_12_1_aeo	1	barque_bateau	206.336571100428	-70.8394548195898	NA	NA	0	NA	NA	Bronze	NA	NA
2	Tanum	Tanum_12_1_aeo	2	barque_bateau	123.948476796057	-87.0469487811053	NA	NA	0	-	NA	xxx	NA	NA
3	Tanum	Tanum_12_1_aeo	3	barque_bateau	54.3913152112197	-125.539746939705	NA	NA	0	-	NA	xxx	NA	NA
4	Tanum	Tanum_12_1_aeo	4	barque_bateau	67.2222479307528	-180.915351308216	NA	NA	0	-	NA	xxx	NA	NA
5	Tanum	Tanum_12_1_aeo	5	barque_bateau	76.6766194083035	-228.862520944366	NA	NA	0	-	NA	xxx	NA	NA
6	Tanum	Tanum_12_1_aeo	6	soleil	159.064713712674	-131.617557175273	NA	NA	0	-	NA	xxx	NA	NA
7	Tanum	Tanum_12_1_aeo	7	personnage	94.234737866612	-259.926884370604	NA	NA	0	-	NA	xxx	NA	NA
8	Tanum	Tanum_12_1_aeo	8	personnage	177.973456667775	-253.173761886639	NA	NA	0	-	NA	xxx	NA	NA
9	Tanum	Tanum_12_1_aeo	9	hache	220.518128316754	-172.136292079062	NA	NA	0	-	NA	xxx	NA	NA
10	Tanum	Tanum_12_1_aeo	10	epee	142.181907502762	-257.900947625415	NA	NA	0	-	NA	xxx	NA	NA
11	Tanum	Tanum_12_1_aeo	11	personnage	141.506595254366	-212.65502698285	NA	NA	0	-	NA	xxx	NA	NA
12	Tanum	Tanum_12_1_aeo	12	personnage	287.374040908005	-237.64158017352	NA	NA	0	-	NA	xxx	NA	NA
13	Tanum	Tanum_12_1_aeo	13	hache	265.764048959318	-179.564726811423	NA	NA	0	-	NA	xxx	NA	NA
14	Tanum	Tanum_12_1_aeo	14	personnage	325.866839066604	-244.394702657485	NA	NA	0	-	NA	xxx	NA	NA
15	Tanum	Tanum_12_1_aeo	15	hache	318.438404334243	-187.668473792181	NA	NA	0	-	NA	xxx	NA	NA
16	Tanum	Tanum_12_1_aeo	16	personnage	395.424000651442	-236.290955676727	NA	NA	0	-	NA	xxx	NA	NA
17	Tanum	Tanum_12_1_aeo	17	hache	333.295273798966	-166.73379409189	NA	NA	0	-	NA	xxx	NA	NA
18	Tanum	Tanum_12_1_aeo	18	barque_bateau	451.137261144151	-81.3067946697352	NA	NA	0	-	NA	xxx	NA	NA
19	Tanum	Tanum_12_1_aeo	19	barque_bateau	360.307763734825	-123.851466318713	NA	NA	0	-	NA	xxx	NA	NA
20	Tanum	Tanum_12_1_aeo	20	barque_bateau	451.137261144151	-128.578652057489	NA	NA	0	-	NA	xxx	NA	NA
21	Tanum	Tanum_12_1_aeo	21	barque_bateau	383.943692428702	-166.73379409189	NA	NA	0	-	NA	xxx	NA	NA
22	Tanum	Tanum_12_1_aeo	22	barque_bateau	458.565695876513	-171.123323706467	NA	NA	0	-	NA	xxx	NA	NA
23	Tanum	Tanum_12_1_aeo	23	barque_bateau	459.241008124909	-199.486438139119	NA	NA	0	-	NA	xxx	NA	NA
24	Tanum	Tanum_12_1_aeo	24	barque_bateau	460.253976497504	-229.200177068564	NA	NA	0	-	NA	xxx	NA	NA
25	Tanum	Tanum_12_1_aeo	25	barque_bateau	464.643506112081	-257.900947625414	NA	NA	0	-	NA	xxx	NA	NA
26	Tanum	Tanum_12_1_aeo	26	barque_bateau	469.370691850856	-286.264062058067	NA	NA	0	-	NA	xxx	NA	NA
27	Tanum	Tanum_12_1_aeo	27	zoomorphe	53.3783468386251	-337.250136812001	NA	NA	0	-	NA	xxx	NA	NA
28	Tanum	Tanum_12_1_aeo	28	zoomorphe	67.2222479307529	-347.717476662146	NA	NA	0	-	NA	xxx	NA	NA
29	Tanum	Tanum_12_1_aeo	29	zoomorphe	72.2870897937265	-368.989812486635	NA	NA	0	-	NA	xxx	NA	NA
30	Tanum	Tanum_12_1_aeo	30	zoomorphe	166.155492320837	-393.976365677305	NA	NA	0	-	NA	xxx	NA	NA
31	Tanum	Tanum_12_1_aeo	31	barque_bateau	161.090650457864	-453.741499660393	NA	NA	0	-	NA	xxx	NA	NA
32	Tanum	Tanum_12_1_aeo	32	cercle	426.48836407768	-380.470120709375	NA	NA	0	-	NA	xxx	NA	NA
33	Tanum	Tanum_12_1_aeo	33	barque_bateau	71.442949483231	-212.570612951801	NA	NA	0	-	NA	xxx	NA	NA
