site;decor;id;type;x;y;sens;long_cm;incomplet;technologie;sym_h;chr_1;tpq;taq
1;Badalona;stele_2_aaa;1;lance;68.8453459716627;-111.499527714975;NA;NA;0;g_piq;NA;xxx;NA;NA
2;Badalona;stele_2_aaa;2;lance;90.4748912944587;-112.225144636861;NA;NA;0;NA;NA;xxx;NA;NA
3;Badalona;stele_2_aaa;3;lance;113.672779610997;-110.728506680955;NA;NA;0;NA;NA;xxx;NA;NA
4;Badalona;stele_2_aaa;4;lance;136.870667927536;-111.102666169931;NA;NA;0;NA;NA;xxx;NA;NA
5;Badalona;stele_2_aaa;5;lance;158.946077777145;-111.102666169931;NA;NA;0;NA;NA;xxx;NA;NA
6;Badalona;stele_2_aaa;6;separ;111.801982166115;-176.954736229783;NA;NA;0;NA;NA;xxx;NA;NA
7;Badalona;stele_2_aaa;7;ecriture;111.801982166115;-264.508056650267;NA;NA;0;NA;NA;xxx;NA;NA
8;Tossal de les Forques;stele;1;lance;73.3352598393798;-84.1858850196962;0;NA;0;g_piq;NA;xxx;NA;NA
9;Tossal de les Forques;stele;2;rosace;84.558084262562;-149.763760028271;0;NA;0;g_piq;0;xxx;NA;NA
10;Tossal de les Forques;stele;3;cardiophylax;100.90879366045;-157.506390364415;0;NA;0;g_piq;0;xxx;NA;NA
11;Tossal de les Forques;stele;4;lance;99.0805595409164;-83.7890234746518;0;NA;0;g_piq;NA;xxx;NA;NA
12;Tossal de les Forques;stele;5;lance;128.264999681078;-84.9115019415811;0;NA;0;NA;NA;xxx;NA;NA
13;Tossal de les Forques;stele;6;lance;70.6444383787078;-228.588745708529;0;NA;0;NA;NA;xxx;NA;NA
14;Tossal de les Forques;stele;7;lance;95.3389646511521;-233.078659576246;0;NA;0;NA;NA;xxx;NA;NA
15;Tossal de les Forques;stele;8;lance;124.89756428029;-230.833702642388;0;NA;0;NA;NA;xxx;NA;NA
16;Sebastia de la Guarda;stele_2_aaa;1;lance;64.3554321039456;-77.825173707097;0;NA;0;g_piq;NA;xxx;NA;NA
17;Sebastia de la Guarda;stele_2_aaa;2;lance;78.5017876472133;-77.8024716510288;0;NA;0;g;NA;xxx;NA;NA
18;Sebastia de la Guarda;stele_2_aaa;3;lance;91.0361305279236;-78.1766311400052;0;NA;0;NA;NA;xxx;NA;NA
19;Sebastia de la Guarda;stele_2_aaa;4;lance;101.88675570824;-78.1766311400052;0;NA;0;g;NA;Fer Europe;NA;NA
20;Sebastia de la Guarda;stele_2_aaa;5;lance;110.77304357143;-77.9895513955171;0;NA;0;NA;NA;xxx;NA;NA
21;Sebastia de la Guarda;stele_2_aaa;6;lance;121.904288368479;-78.3637108844935;NA;NA;0;NA;NA;xxx;NA;NA
22;Sebastia de la Guarda;stele_2_aaa;7;lance;131.632435081866;-79.0184899902023;NA;NA;0;NA;NA;xxx;NA;NA
23;Sebastia de la Guarda;stele_2_aaa;8;lance;144.353857707064;-78.8314102457141;NA;NA;0;NA;NA;xxx;NA;NA
24;Sebastia de la Guarda;stele_2_aaa;9;lance;157.636519565727;-77.7089317787848;NA;NA;0;NA;NA;xxx;NA;NA
25;Sebastia de la Guarda;stele_2_aaa;10;lance;175.128475675375;-77.8024716510289;NA;NA;0;NA;NA;xxx;NA;NA
26;Sebastia de la Guarda;stele_2_aaa;11;separ;118.536852967691;-125.975505856744;NA;NA;0;NA;NA;xxx;NA;NA
27;Sebastia de la Guarda;stele_2_aaa;12;lance;63.7224878326441;-144.309320816589;NA;NA;0;NA;NA;xxx;NA;NA
28;Sebastia de la Guarda;stele_2_aaa;13;lance;79.2501066251658;-144.870560050053;NA;NA;0;NA;NA;xxx;NA;NA
29;Sebastia de la Guarda;stele_2_aaa;14;lance;92.3456887393408;-145.24471953903;NA;NA;0;NA;NA;xxx;NA;NA
30;Sebastia de la Guarda;stele_2_aaa;15;lance;113.298620122021;-145.805958772495;NA;NA;0;NA;NA;xxx;NA;NA
31;Sebastia de la Guarda;stele_2_aaa;16;lance;130.13579712596;-147.115516983912;NA;NA;0;NA;NA;xxx;NA;NA
