site	decor	id	type	x	y	sens	long_cm	incomplet	technologie	sym_h	chr_1	tpq	taq
1	Brozas	Brozas	1	lance	354.111392142454	-123.362144447352	270	82.1	0	g_piq	0	Huelva	-1050	-950
2	Brozas	Brozas	2	peigne	346.345495161992	-151.837100042378	0	7.3	0	g_inc	0	xxx	NA	NA
3	Brozas	Brozas	3	fibule	279.041054664657	-162.191629349661	0	10	0	g_inc	0	Fibule_codo	-1050	-925
4	Brozas	Brozas	4	miroir	211.736614167321	-206.198378905611	180	18.8	0	g_piq	0	xxx	NA	NA
5	Brozas	Brozas	5	bouclier	392.940877044763	-343.395892227103	270	71.5	0	g_piq	0	Bouclier en V	-1100	-800
6	Brozas	Brozas	6	epee	387.763612391122	-564.723956170265	90	69.3	0	g_piq	0	Epee en langue de carpe	-950	-800
7	Tres Arroyos	Tres Arroyos - Albuquerque	1	miroir	376.114766920429	-137.599622244865	270	14.9	0	g_piq	0	xxx	NA	NA
8	Tres Arroyos	Tres Arroyos - Albuquerque	2	lance	343.756862835172	-208.787011232432	270	NA	1	g_piq	0	xxx	NA	NA
9	Tres Arroyos	Tres Arroyos - Albuquerque	3	bouclier	346.345495161992	-290.328929527281	270	33.4	0	g_piq	0	Bouclier en V	-1100	-800
10	Tres Arroyos	Tres Arroyos - Albuquerque	4	epee	337.28528201812	-421.054862031721	90	NA	1	g_piq	0	Epee type Roesnen	-1300	-1150
11	Carneril (El)	El Carneril_Trujillo	3	epee	358.822236557028	-532.937416877864	270	NA	1	g_piq	0	Epee en langue de carpe	-950	-800
12	Carneril (El)	El Carneril_Trujillo	1	lance	328.62385817865	-174.495795256242	90	44.9	0	g_piq	0	Huelva	-1050	-950
13	Carneril (El)	El Carneril_Trujillo	2	bouclier	345.692506827299	-354.37309255354	90	41.6	0	g_piq	0	Bouclier en V	-1100	-800
14	Granja de Cespedes	Granja De Cespedes-Badajoz	1	lance	348.033206600127	-221.714825000833	270	44.9	0	g_piq	0	xxx	NA	NA
15	Granja de Cespedes	Granja De Cespedes-Badajoz	2	bouclier	364.067770622122	-341.083246053465	270	32.8	0	g_piq	0	Bouclier en V	-1100	-800
16	Granja de Cespedes	Granja De Cespedes-Badajoz	3	epee	366.740197959122	-474.704612903426	90	28.1	0	g_piq	0	xxx	NA	NA
